maker;model;anno;targa
Volkswagen;New Beetle;2002;OVRSCUTT
Lexus;LS;1996;B0YDSL5Z
Ford;Thunderbird;1983;E92HF8ON
Mercury;Mountaineer;2000;R3S3CBMP
Cadillac;Eldorado;1995;IX1PS817
Dodge;Ram Wagon B350;1994;6W5SRB58
BMW;X3;2006;DGRYP6CD
Mercury;Grand Marquis;1996;8VA9WQGF
Mazda;MX-5;2003;FY6H55IG
Ford;Fusion;2012;C0T7E7D6
MINI;Cooper;2003;NT9VSHB4
Ford;Five Hundred;2007;AOHV72D2
Aptera;2e;2009;4L3Y46R8
Chevrolet;G-Series 2500;1998;4H8IZPAK
Chevrolet;Express;2007;5GZ6A6Y5
Jaguar;XJ Series;2003;2G18RQ4J
Acura;NSX;1992;ACC9R2E3
Pontiac;Torrent;2006;HARQQDKM
Kia;Optima;2011;8LZP1UOT
Dodge;Viper RT/10;1993;0TFH2YGC
Hyundai;Equus;2011;UNLL6RN6
Isuzu;Oasis;1998;74AGMU9D
Chrysler;LHS;1994;9EWU4HSS
Lexus;LS;1998;X7DJGEEQ
Lexus;LS;1993;LRCGDZ36
Audi;Q7;2011;TJYTQ675
Mercedes-Benz;300TE;1992;2ZORUWA3
Bentley;Continental GT;2008;U2V2E92P
Hyundai;Accent;1996;Q0AZ1QEZ
Pontiac;LeMans;1991;3IFMS2M5
Toyota;Celica;2002;U2GSNRZF
Mazda;Miata MX-5;2004;2FDOFQBH
Ford;Econoline E250;2001;XRXF3NEB
Jaguar;XJ;2011;5PP8OUWQ
Scion;xB;2011;FOXROJ3J
BMW;3 Series;2005;POVSMGQC
Bentley;Azure;2008;7W66CET0
Land Rover;Freelander;2004;RJYR7NM4
GMC;2500;1994;EAZFOOI8
Mercury;Cougar;1991;JCD7IWQX
BMW;530;2005;92KRXQQ2
Hyundai;Elantra;2010;ZJF6S86U
Mercury;Mariner;2010;VBGF2LNE
GMC;Savana 3500;2008;GQ0ZTBAX
Dodge;Viper;2004;DKQ0HAXE
Ford;Econoline E350;1992;EE08RRVT
GMC;Sierra 3500;2004;93APNA2X
Jensen;Interceptor;1967;76ECSALH
Chevrolet;Camaro;1981;R535NHG9
Cadillac;Escalade;2011;TI1DU0GH
Toyota;T100;1993;A3W67B4M
Volvo;V50;2005;GKK07FFG
Dodge;Monaco;1992;P5Z85SE6
Cadillac;STS;2005;2G2FSK7Y
Nissan;Versa;2007;CBJMH5XJ
Mercedes-Benz;Sprinter 3500;2011;JLOTN3TL
Cadillac;Seville;1998;N503DKUU
Mercedes-Benz;CLS-Class;2006;FCFKECDK
Cadillac;Escalade;1999;LYCC4IHG
Mitsubishi;Galant;1989;EILPFTC8
GMC;Sierra 3500;2000;TB2QOVCH
GMC;Savana 1500;2012;620V9FOZ
Ford;Escort;1997;1XMWKV8W
Mazda;RX-8;2009;JZJ85D3K
Ford;Taurus;2006;I9IZR8UR
Subaru;Outback;2005;EQW0FEZK
Buick;Riviera;1986;5J1TNF61
Nissan;Cube;2012;S9BO85PO
Chevrolet;Express 2500;2007;8GVS6A88
BMW;5 Series;1995;L1SPHBPL
Maserati;Spyder;2002;G1UVTDX4
Porsche;911;2010;LXN1JKF9
Mazda;Protege5;2002;9CPJHTRL
Ford;Ranger;1988;1PI2TS98
Mitsubishi;Raider;2008;Q6AVA4JP
Dodge;Viper;2008;70TF4792
Mercedes-Benz;SLK-Class;1997;DDA88IN5
GMC;Sierra;2010;LNXCMTCY
Dodge;Ram Van 3500;2000;ZK1TM8LI
Nissan;Quest;1998;HY04TFY8
Oldsmobile;Aurora;2003;X2MKBINQ
Infiniti;G;1994;QMTORGB1
Lincoln;Continental;1984;ZKSPDJNG
Chrysler;Pacifica;2007;6YODHCTG
Lexus;ES;1991;ZD1XP78E
Dodge;Dakota;1993;TKP264CL
Scion;xD;2009;AW86K31F
Chrysler;Voyager;2000;TCCQV2R0
Toyota;Echo;2004;5QO8O0XN
Audi;4000s;1985;NQZ9ONKV
Saab;9000;1993;FRE61KRS
Kia;Spectra;2003;IBPJKATM
Lotus;Exige;2007;T5IYUQHG
Chrysler;300;2010;HDO3JDZD
Chrysler;Sebring;2004;GP0JQ77V
Toyota;Land Cruiser;1992;PQHZEYFU
Mitsubishi;Montero;2005;NX9N1Q6V
Dodge;Grand Caravan;2004;TNRN91L6
Pontiac;Grand Am;2002;QVRKNYF6
Chevrolet;Metro;1998;1HNI53LV
Acura;MDX;2004;30HKQD8H
Mazda;Mazdaspeed 3;2010;8E74WX4T
Audi;Cabriolet;1996;17JW8LPY
Cadillac;Fleetwood;1954;G4PUCXHB
Chevrolet;Colorado;2006;GQGJL8W8
GMC;Jimmy;2000;C2HB2ZJE
Toyota;RAV4;2006;RRV1SKHS
Nissan;Altima;2000;HFUJLEB4
Lincoln;Continental;1997;I07MULHE
Spyker;C8 Double 12 S;2006;7X847H1H
Subaru;Justy;1993;5BA94KFB
Ford;F350;1992;0VE2J6P4
Ford;F250;1997;4F38ALQT
GMC;Savana 2500;2001;EU31YL14
Chevrolet;Corvette;1956;G86ZLDZ5
Ford;E-Series;2006;YRN54S18
Ford;Mustang;1983;XURC6NLK
Ford;Model T;1909;V5GBBC24
Geo;Metro;1992;EY8AOKQS
Pontiac;Grand Am;1987;J28B38IA
Cadillac;XLR-V;2008;QZW79DAD
Ford;E-Series;2005;ZKRXHZOO
Hyundai;Elantra;1997;2D47KG70
GMC;Yukon XL 1500;2007;WY4UEV82
Kia;Borrego;2009;K8CKCTO2
Toyota;4Runner;2007;26N95IG2
Ford;Escape;2004;02Y0PNOW
Ford;Mustang;1970;SSBK4RV1
Toyota;Celica;1999;4PDGVYFL
Volvo;C70;2008;MAYKGEQY
Suzuki;SJ;1988;IQZSXA2H
Oldsmobile;Ciera;1992;RY8VR317
Buick;LaCrosse;2007;UFELBW7L
Land Rover;Freelander;2010;RILPSPIP
GMC;Savana;2010;JAC3XMC2
Lamborghini;Reventón;2008;J0WT18GS
Ford;E150;2012;C0FR5QXD
Honda;S2000;2007;5G5X33Z0
Saab;9000;1992;D1U0YCWG
Ford;Tempo;1994;IASBRO4A
GMC;Savana 3500;2000;P5UYWPD6
Kia;Soul;2010;PVC5V5SW
Volkswagen;Scirocco;1984;WAWCQ1ZW
Volvo;S80;2002;5TTO68DJ
Isuzu;Trooper;2001;QIWQTYWC
Porsche;911;2011;JRT1KZUB
Kia;Optima;2010;PXPB4TK6
Porsche;911;1995;G7LCCQZM
Scion;xB;2009;7AE2V42W
Mazda;MPV;1998;YJRKHEZF
Mercedes-Benz;500SL;1993;38DEGOE2
Ford;F350;1995;VYV5P4BJ
GMC;Vandura 3500;1993;OQDYMWIK
Land Rover;LR3;2009;P0RSIO8E
Nissan;Quest;2012;GDUUZXYE
Saab;900;1991;AIQQW6CM
Mercury;Topaz;1986;6I56YZYN
Ford;Windstar;2002;EL3RQR3Z
Volkswagen;Cabriolet;1988;T4WAPK90
Subaru;Alcyone SVX;1992;KBPWJZ6T
Suzuki;XL-7;2001;LUPCUQAY
Ram;3500;2012;MDWWFJQN
Geo;Tracker;1992;XLH791D2
Buick;Electra;1984;CK8HRSU0
Jeep;Cherokee;1997;PK9JG95S
Infiniti;G;1999;CAXE95QI
Lamborghini;Murciélago;2008;327IGTNL
Honda;Prelude;1994;V3OULINM
Oldsmobile;LSS;1997;5PJUQ30U
Dodge;D250 Club;1992;X9MB2PVA
Ford;F150;2007;YB75YLGW
Buick;Skylark;1993;7T3U0T9X
Oldsmobile;Bravada;1993;WCZOVZ6F
Mitsubishi;Galant;1998;URNN6U5B
Kia;Spectra;2007;QGYGENRU
Volvo;V40;2003;VXURMRZC
Chevrolet;TrailBlazer;2003;CJN5VIVO
Kia;Sportage;2006;LP2QJS5Q
Subaru;Brat;1984;YFFC3FE5
Suzuki;Esteem;1998;9U26F6C4
Chrysler;300;2008;88ZZ25SB
Lincoln;Mark VIII;1994;B7MB6OP9
Porsche;911;1985;BI2HBYYK
Land Rover;Freelander;2002;23341WNW
GMC;Acadia;2010;23GJJ27M
BMW;7 Series;1998;9L386T6P
Honda;Accord;2009;USLRHMOU
Audi;Quattro;1985;AKIT88HI
GMC;Rally Wagon 2500;1992;3EP09JWE
Land Rover;Range Rover Evoque;2012;R4Y1PPEM
Bentley;Mulsanne;2012;OSDASP4C
Cadillac;Fleetwood;1993;GS6MZ49V
Mercedes-Benz;SLK-Class;2012;6WSECAV3
Porsche;924;1988;8E4T5GM0
Pontiac;Grand Am;1992;FASWGR6G
Subaru;Impreza;2011;CY8YO0GV
Cadillac;XLR;2009;8ZEAN0LU
Toyota;Land Cruiser;2005;0SKEBCRU
Mitsubishi;Pajero;1995;QCYW63JO
Scion;xD;2008;4LGPBCV2
Ram;Dakota;2011;CLIGIPIX
Lincoln;Mark VIII;1993;ZJV08CD3
Ford;Focus;2001;TOJSY6C7
Lincoln;Continental Mark VII;1989;ST4GXRGL
Saab;9000;1998;CVY0ZNUH
Lexus;LX;1998;P19LHFMZ
BMW;M5;2001;T3X48QIG
Buick;Roadmaster;1992;ISY5APPG
Pontiac;Firefly;1995;VOJPBWG1
Kia;Sedona;2008;YJ8I30VT
Lincoln;MKZ;2007;PO7U68LE
Isuzu;Ascender;2009;XOO86A5G
Toyota;Corolla;1997;P9ZRCTQD
Chevrolet;Beretta;1996;ELQMD1PY
GMC;Savana 3500;2006;LNUPBKF2
Nissan;Xterra;2007;LK0MJKKR
Chevrolet;Venture;1998;609HI1PV
Saab;9-7X;2009;SYNWHRRL
GMC;Yukon;1997;5NIE8MN4
Chevrolet;Impala SS;1994;6NYVDP7D
Chevrolet;Monte Carlo;1973;489I5OKF
Volvo;S90;1997;JIE6Z0WO
Aston Martin;Vantage;2011;H041P3EF
Mazda;RX-7;1994;DWVCFU47
Ford;Thunderbird;1996;LZZMUOX2
Oldsmobile;98;1992;ZYGVATX9
Dodge;Intrepid;2001;B72928EY
Ford;E250;2011;EWWUHD92
Mitsubishi;Montero;2003;FUHBFMT1
Oldsmobile;Regency;1998;6APIOK1Z
Lexus;GX;2012;J9E0IZXL
Mazda;Protege;1997;GWTWK4JD
Mazda;Mazda6 Sport;2006;IUJO878X
Mercury;Sable;1988;WJOF7MAT
Lincoln;Aviator;2003;S1E400JH
Honda;Passport;2001;EII85086
Mitsubishi;Pajero;2005;LTH5PH5D
Mercury;Topaz;1984;MSNTQG84
Honda;Civic;1997;8UGCY7V5
Mitsubishi;Chariot;1985;6YER2CUE
Saturn;VUE;2007;AACTOIDT
Ford;Mustang;1964;KB0BN8A8
Saab;900;1992;3UM5I7GT
Cadillac;SRX;2011;VWYNY36D
Audi;S4;2001;O12SM0F7
Ford;Ranger;1993;FCF8R7FP
Ford;Bronco;1985;KCRG5DWH
Ford;Thunderbird;1977;IE1UNN9U
Dodge;Ram 3500;1994;8I274643
Porsche;Cayenne;2003;DTI2Z6L5
Buick;LeSabre;1989;O59TJBBM
Hummer;H3;2010;W6HGFBMN
Honda;Civic;1996;PIYDTP1T
Isuzu;Rodeo;1995;OE4JT2DR
Nissan;Sentra;1993;XIQDCHC8
Ford;Edge;2009;S1FGH7S0
Ford;Taurus;1990;NMJ0T0LG
Mitsubishi;Expo;1992;KUY2HSOI
Mitsubishi;Mighty Max;1993;XGNDDD81
Daewoo;Leganza;2000;YMDA13OT
Saab;9000;1986;RH60YC6M
Nissan;NX;1992;2J3U8XZL
Mitsubishi;Montero;2005;9KGSICFK
Chevrolet;Suburban;2007;1CTWOZY8
Mazda;Miata MX-5;2009;DSL0QJ67
Buick;Century;1989;10HN4M47
Ford;Econoline E150;1997;24PP0IKY
Mitsubishi;Expo;1993;OJWZD1P6
Volvo;S80;2007;7T22E1R4
GMC;Sierra 1500;2006;1ICDX3HA
Plymouth;Neon;1998;1TQBFLHF
Lincoln;Navigator;2010;N3ZJ3Q7X
Mercedes-Benz;R-Class;2009;KE7Z3114
Lamborghini;Countach;1990;B1NP3FYF
Pontiac;Bonneville;1994;XH5W9A3O
Cadillac;Escalade ESV;2011;YU09YAUL
Hyundai;Santa Fe;2009;LHFR972K
BMW;330;2005;CC8TMXDD
Kia;Sportage;2000;X5IGB43S
Bentley;Continental GTC;2010;QCDYDLNE
Ford;GT;2005;FEXS85T5
Ford;LTD Crown Victoria;1993;V2WMU0KF
Jeep;Cherokee;1996;7J8UN10K
Cadillac;Escalade ESV;2009;K7H8R03A
Ford;F250;1994;6RZ25WBQ
GMC;Savana 2500;2001;JIRMQ2BI
Volvo;C30;2012;4JBOBSII
Porsche;911;2006;75ZJAPCB
Dodge;Colt;1993;HER0MR21
Lincoln;Zephyr;2006;POE7JQYB
Mercury;Sable;2002;KIMJCRNP
Oldsmobile;LSS;1997;V98Y5DGD
Honda;Civic;2009;51XJ0SBG
Dodge;Charger;1969;TVNMSP6U
Chrysler;Cirrus;2000;VFBGFRGR
Dodge;Dakota Club;2001;Y6C6ALN4
Hyundai;Sonata;2005;S7SPMGOD
Mitsubishi;Galant;2001;B7VHC4QE
Chrysler;New Yorker;1994;HLJ646LJ
Ford;Contour;1996;P90KRLF5
GMC;Sierra;2012;VI4OH7U0
Dodge;Ram Van 1500;1998;5CF68GQA
Buick;Electra;1989;N7O06LAY
Hyundai;Elantra;2011;ZM0REMUH
Chevrolet;Camaro;1995;JXXUR0OE
Toyota;Solara;2000;3TDELKNB
Mitsubishi;Eclipse;1991;KAVZYY4U
Toyota;Corolla;1993;43UL896E
Porsche;Boxster;2004;WCJ188UG
Honda;S2000;2008;XV2SU0HS
Mercedes-Benz;500SEL;1993;BO64B0KV
Saab;9-5;2000;4KVZW3QA
Lexus;LX;2010;KL7NKRPW
Hyundai;Veracruz;2009;VSW8HS31
BMW;M3;2011;98ZIMFYG
Ford;Taurus;2010;ACMMFJY3
Buick;Regal;2002;KHIZLH26
GMC;Sonoma;1993;9S61HCKC
Jeep;Grand Cherokee;1996;LGTOQ49J
Mazda;B-Series;1989;ZRP8OLGW
Chevrolet;Corvette;2005;57AD6WIF
Toyota;Corolla;1996;3W2FOOD2
Suzuki;Reno;2007;J0KZRR8Z
Pontiac;Sunbird;1992;1QKO51JI
Audi;A5;2010;ZR4AJQ91
Hyundai;Azera;2006;OX4GWLWI
Buick;Coachbuilder;1990;DIORT1HJ
Porsche;944;1988;8Y854TG8
Suzuki;Aerio;2004;4C451UJT
Pontiac;Grand Prix;1983;TMYM1SOL
Ford;E250;2007;CKL4F24A
Infiniti;G;2006;XMSBNZCV
Chrysler;Aspen;2008;XQ0Y6YAU
Chevrolet;Camaro;1975;AGC1MB4Z
Mazda;MX-6;1997;PGJMPOG3
Chevrolet;G-Series G30;1992;KY7G3R7E
Chevrolet;Express 2500;2004;661BVYW5
Subaru;Tribeca;2006;LCQ0PD6G
Mercedes-Benz;SL-Class;1984;PHAU8WI9
BMW;7 Series;2000;QXESPPP5
Chevrolet;Silverado;2008;A9RGDSZP
Toyota;Sequoia;2001;3T8CJOQI
BMW;600;1958;FYZU02QF
Chevrolet;Camaro;1970;3T1JQ5LT
Ford;EXP;1985;ZJXFIWK1
Isuzu;Hombre Space;1999;QE49O3HV
Ford;Explorer Sport Trac;2010;QCA3MOEH
Chevrolet;Corvette;1953;1QGQSB4U
Dodge;Ram Van 2500;1995;YEQRD1KX
Eagle;Vision;1994;J86WKEEQ
Chevrolet;Tahoe;2004;PO3SHZIC
Mitsubishi;GTO;1999;OTNY3XH8
Rolls-Royce;Ghost;2010;NPLQ5DF0
Oldsmobile;Silhouette;1992;I6QH4UK1
Toyota;Camry Solara;2008;Y52GMK5I
Honda;FCX Clarity;2012;9OYIIC26
Volkswagen;New Beetle;2010;QANJX3KO
Volkswagen;GTI;1996;MPL1JI56
Mazda;MX-3;1994;B818I48M
Pontiac;LeMans;1964;GCG3GD1P
Chevrolet;Suburban 2500;1992;GO2DX681
Ford;Windstar;1997;UD406N6J
Chevrolet;2500;1994;B95D14UD
Audi;A8;2004;DSKO2GX7
Suzuki;Kizashi;2012;EOBNZ7FS
Audi;Cabriolet;1997;LKIX7K9P
Honda;Civic;1991;TATVVXBV
Mitsubishi;Mirage;2000;BTHVLMBW
Pontiac;Sunbird;1985;1HPN5KO6
Volvo;V50;2010;UDSMLR8B
Scion;xD;2009;CNAALUVX
Chevrolet;Suburban 1500;1995;XPD0DCKB
GMC;Sonoma Club Coupe;1994;9KPL7F3G
Ford;Fusion;2010;3KMW8W6P
Chevrolet;Tahoe;2004;1R0G1WUP
Honda;Element;2011;A6J0CR2Z
Chevrolet;Colorado;2010;I62BFX2Q
Mitsubishi;Chariot;1995;37TRCMJK
Mitsubishi;Lancer;2011;DQJI0GL5
Pontiac;Firebird;2002;RY439EGB
Cadillac;Escalade;2004;WUMQJLSM
GMC;Savana;2006;8R1SGJY3
Infiniti;JX;2013;JJ12BXMG
Chevrolet;Corvette;1996;107IWK80
Ford;Econoline E250;1999;EIJYUYIM
Dodge;Daytona;1993;0T7PO9EH
GMC;Sierra Denali;2006;USQDTLQ6
Jaguar;XJ Series;2001;IU4ZMOC3
Oldsmobile;Bravada;1993;6UCC7Q6I
BMW;3 Series;2012;FIER8WCQ
Chevrolet;Metro;1999;IGDJHGA2
Pontiac;Sunfire;2001;FNXZF2M0
Lincoln;Aviator;2005;KLWTKGEP
Nissan;Quest;2004;69GRWHQJ
Honda;Civic Si;2006;NAT52DYB
BMW;3 Series;2003;JTLYBEGF
Honda;Civic;2001;02OYUB27
Mercedes-Benz;600SEL;1993;1W4UL2IP
Mazda;B-Series;1998;7YS24LW3
Infiniti;QX;2007;LNAB67AG
Suzuki;Reno;2005;K28QD0LP
Lotus;Esprit;2000;J2HYKCRK
Ford;Transit Connect;2012;3BO3LTLJ
BMW;X3;2012;K4CVDOU6
Suzuki;Swift;1988;FI54D19W
Mercury;Mountaineer;2009;CUWP3HLD
Suzuki;Forenza;2008;Q2O8PEQA
Infiniti;J;1993;AVBPJ6ZK
Isuzu;Oasis;1999;6PTC6CZN
Lincoln;Town Car;1994;7AYSB26E
Ford;Econoline E250;1992;B14BUGP5
Volvo;V50;2009;KN0YVFUU
Volkswagen;New Beetle;1999;9IC11ZVT
Jeep;Wrangler;1993;XWUITLS0
Mercury;Topaz;1984;5NCYWUT3
GMC;Savana 1500;2002;KAQQXE13
Lexus;LX;2001;R5C241XI
Honda;S2000;2001;EYML36W1
Honda;Civic;2008;TYQ4N6G3
Saab;900;1994;GCDQGA5F
Peugeot;207;2007;28Z4RZEL
Maserati;Quattroporte;2012;WKQSZTEB
Cadillac;DTS;2008;KGQMO6JU
Lotus;Evora;2011;FGCS0BTE
Volkswagen;Cabriolet;1995;U6TWHC41
Hyundai;XG350;2002;7ESOSR06
Mercedes-Benz;500E;1993;H6318ON3
Mercedes-Benz;G-Class;2003;Y118JEDU
Ford;Five Hundred;2006;LVPK64RZ
BMW;X5 M;2013;8D9353YF
Jaguar;XJ Series;1997;UMGSRH16
Lincoln;Town Car;1992;NM6KTNXM
Ford;Mustang;1993;6KP534KT
Honda;Odyssey;2002;VJJ7FIUP
Mitsubishi;Mighty Max Macro;1992;7H4TDINJ
GMC;Yukon XL 2500;2002;UTYGRIH0
Toyota;TundraMax;2010;3FS6VTH8
Mercedes-Benz;SLK-Class;1997;NXWL0L2X
Pontiac;Vibe;2003;O4J98XYL
Porsche;928;1995;2B2U6QMO
Bentley;Continental GT;2010;7F2S91VV
Ford;Crown Victoria;2006;YSM7YRS8
Acura;MDX;2012;P1UDF6BS
Toyota;Xtra;1995;D9RY9Q76
Buick;Enclave;2012;RTD7GO5Z
Cadillac;Escalade EXT;2003;2NAVQFN3
Ford;Taurus;1992;CSY8ZPJ4
Hyundai;Equus;2012;WC1YS5UL
Honda;Civic;2006;4H3EM82Q
Subaru;Forester;2000;361ROPZK
Plymouth;Neon;1995;W8POA0JG
Pontiac;Grand Prix;2008;YIWU9YK0
Volvo;S80;2006;6PWF3289
Chrysler;Sebring;2003;COBKHKUN
Honda;CR-V;2007;5BHU06KB
Mercedes-Benz;CLK-Class;1999;KR0ETNEB
Mercury;Mountaineer;2006;JC7Z3UXE
Porsche;944;1986;QRVS9IYX
Chevrolet;Caprice;1977;PXA9CB1Q
Lexus;GS;2010;1TWNJ0E3
Dodge;Grand Caravan;2011;GNEBP71W
Pontiac;1000;1986;1A36QQ0P
Mazda;626;1994;PF0BRIF5
Dodge;Ram 1500 Club;1998;2TDXNOS0
Ford;Freestyle;2005;P86TNW0H
Volvo;V70;2003;GDJC78LA
Oldsmobile;Aurora;2003;4XOEE023
Mercedes-Benz;CLS-Class;2007;J0VAR1BY
Mitsubishi;Lancer Evolution;2004;T7HN2CB3
Mitsubishi;Galant;1992;XCMM7AQT
Audi;80;1990;12I8FRCN
Dodge;Ram 3500;2002;08451Z2V
Daewoo;Nubira;2001;S4OIAE8O
Ford;Taurus;1994;ONRO8PDA
Mercedes-Benz;G-Class;2005;P4A0OSHX
Scion;tC;2009;OCNHFEE4
Volkswagen;Cabriolet;1992;QY9CONXL
Chevrolet;Cobalt SS;2007;L73Z82BD
Volvo;V40;2000;JJ5OM4SP
Mercury;Sable;1988;TWE6C4LL
Chevrolet;Camaro;1975;38V0S3V4
Oldsmobile;88;1996;SGMQLYBV
Ford;Taurus;1996;BO8IVJ62
Ford;Explorer;2010;FZI1Y1D0
Lexus;LX;2003;BAPACP8H
Land Rover;LR3;2009;CW8VPOEJ
Plymouth;Sundance;1992;LK0U9805
Mazda;B2500;2001;N7ABX259
Lexus;IS;2001;80D6VCK8
Volvo;V90;1997;Q7O6QSCU
Lincoln;Continental;1998;UPN7YPKL
Land Rover;Discovery Series II;2001;3K7LTHYR
MINI;MINI;2002;UWY1X9DJ
Maybach;62;2012;QJGG4J5H
Lexus;RX Hybrid;2006;SX9UFOZC
Volkswagen;New Beetle;1998;SZJG5RM5
Mazda;Protege;1998;0NYF44AP
Cadillac;Catera;1998;TPSA2X9H
GMC;Terrain;2011;47EVFU15
Volvo;C70;2004;IPX1F8RI
Aston Martin;Rapide;2010;J3FKJC1C
Pontiac;G8;2009;YFCYWFF8
Chevrolet;Silverado;2008;WN77NH12
GMC;Yukon;2005;9GR70LW5
Isuzu;Hombre;1996;FHU1VA73
